experiment_id,id_status,title,name,phase,created_at,status,decision,parent,successor,aliases,tags,data_market,data_order,data_transaction,base_model,objective,validation,baseline_score,score,delta,public_lb,conclusion,failure_reason,do_not_repeat,script_path,report_path,artifact_path,record_kind,evidence_state,ownership,route_id,failure_category,provenance_state,source_refs
M-05,canonical,Optiver Interaction 特征族,optiver-interactions,M_representation,2026-08-13,completed,RED,M-01,,,interaction|negative,,,,,cosine (全局),unknown,canonical,~0,~0,-,交互特征无残差增量,交互特征无残差增量,,scripts/m04_*|src/mscapital/features/optiver_interactions.py,docs/m04-optiver-interactions-results.md,output/m04_*,feature,insufficient,self_owned,R06-m-residual,model_saturation,partial,
M-06,canonical,Market-State KNN,market-state-knn,M_representation,2026-08-13,completed,RED,M-01,,,retrieval|negative,,,,,cosine (全局),unknown,canonical,~0,~0,-,状态检索无残差增量 (P6R 前身),状态检索无残差增量 (P6R 前身),,scripts/m05_*|src/mscapital/models/m05.py,docs/m05-market-state-results.md,output/m05_*,feature,insufficient,self_owned,R06-m-residual,model_saturation,partial,
M-07,canonical,Cross-sectional 动态审计,cross-sectional,M_representation,2026-08-13,completed,RED,M-01,,,cross-section|negative,,,,,cosine (全局),N/A,-,无截面 alpha,-,-,截面结构不可用,截面结构不可用,,scripts/m06_*|src/mscapital/models/m06.py,docs/m06-cross-sectional-audit.md,output/m06_audit.json,audit,not_identifiable,not_applicable,R06-m-residual,not_identifiable,partial,
E-01,canonical,ReVol-lite 状态条件化,revol-lite,E_conditional,2026-08-13,completed,YELLOW,C-04,E-02|E-03,,conditional,,,,,cosine (全局),unknown,canonical,+0.0011,+0.0011,-,gate 未过 (上界参考),gate 未过 (上界参考),,scripts/e01_*|src/mscapital/models/revol_lite.py,docs/e01-e02-e03-results.md,output/e01_*,model,insufficient,self_owned,R07-state-conditioned,none,partial,
E-02,canonical,Reconditionor-lite,reconditionor-lite,E_conditional,2026-08-13,completed,RED,E-01,,,conditional|negative,,,,,cosine (全局),unknown,canonical,"窗口内 cos 0.013, 跨月不可变现",~0,-,窗口内可解释 ≠ 跨月可预测增量 (负面链 #2),窗口内可解释 ≠ 跨月可预测增量 (负面链 #2),,scripts/e02_*|src/mscapital/models/context_shift.py,docs/e01-e02-e03-results.md,output/e02_*,model,descriptive,self_owned,R07-state-conditioned,nonstationarity,partial,
E-03,canonical,稳定性审计,stability-audit,E_conditional,2026-08-13,completed,GREEN,E-01,,,validation,,,,,cosine (全局),N/A,-,结论稳健,-,-,Δ=- → GREEN,,,scripts/e03_*|src/mscapital/stability.py,docs/e01-e02-e03-results.md,output/e03_*,diagnostic,descriptive,self_owned,R07-state-conditioned,none,partial,
P5-01,canonical,Market-only 序列审判,market-sequence,P5_market,2026-08-14,completed,YELLOW,P4-01,P5-02,,market|sequence,,,,,cosine (全局),unknown,canonical,弱正,~+0.0005,-,序列信息大部分已在聚合特征中,序列信息大部分已在聚合特征中,,scripts/p5_01_market_sequence.py,docs/p5-02i-info-audit-report.md,output/p5_01_market_sequence,model,validated,self_owned,R11-scfi-z,none,partial,
P5-02,canonical,信息审计 (五条实锤),info-audit,P5_market,2026-08-14,completed,GREEN,P5-01,P5-03|P5-04|P5-05,P5-02I|P5-02i,market|diagnostics,,,,,cosine (全局),N/A,frozen 0.14849,|y| corr 0.466 (幅度巨大); sign AUC 0.564 (方向微弱); corr(v7) 高,-,-,Δ=- → GREEN,,,scripts/p5_02i_info_audit.py,docs/p5-02i-info-audit-report.md,output/p5_02i_info_audit,diagnostic,validated,self_owned,R11-scfi-z,none,partial,
P5-03,canonical,MAG-Gate 幅度门控,mag-gate,P5_market,2026-08-14,completed,RED,P5-02,P7-01,P5-A|MAG-Gate,amplitude|negative,,,,,cosine (全局),unknown,v7,Δ_outer = -0.000146,-0.000146,-,"不再做简单 volatility/幅度 gate; 不再细扫 α∈[0,1]","嵌套后 gate≈常数 (std=0.011), 月度 6/20; 置换对照≈0; 幅度可预测 ≠ 加权有效","不再做简单 volatility/幅度 gate; 不再细扫 α∈[0,1]",scripts/p5a_mag_gate.py,docs/p5a-mag-gate-report.md,output/p5a_mag_gate,model,negative,self_owned,R11-scfi-z,model_saturation,partial,
P5-04,canonical,SCFI 条件创新 (LGB),scfi,P5_market,2026-08-14,completed,GREEN,P5-02,P5-06,P5-B|SCFI,conditional|order-flow,,,,,cosine (全局),unknown,B1 官方参数 152,"C 臂 Δ=+0.0075 (17/20 月正, late +0.0091); blendΔ +0.00094",+0.0075,-,NN spot-check 无增益 (learner 依赖: LGB 特异),NN spot-check 无增益 (learner 依赖: LGB 特异),,scripts/p5b_build_features.py|scripts/p5b_scfi.py|scripts/p5b_diagnostics.py|scripts/p5b_inf_check.py|scripts/p5b_null_check.py,docs/p5b-scfi-report.md,output/p5b_scfi,model,validated,self_owned,R11-scfi-z,none,partial,
P5-05,canonical,RICS 跨通道几何,rics,P5_market,2026-08-14,completed,RED,P5-02,,P5-C|RICS,geometry|negative,,,,,cosine (全局),unknown,market 基线 0.086,全 ≤0.011 corr_y; R4 相位 -0.006 (反转),-,-,不再做 wavelet/shapelet/spectral CNN 短窗形态,短窗形态无信息; 相位破坏反演不变; M0-ref 复现 0.0861 确认协议有效,不再做 wavelet/shapelet/spectral CNN 短窗形态,scripts/p5c_rics.py,docs/p5c-rics-report.md,output/p5c_rics,model,negative,self_owned,R11-scfi-z,model_saturation,partial,
P5-06,canonical,SCFI 生产验证 (LGB 3seed+Cat),scfi-prod-verify,P5_market,2026-08-15,completed,GREEN,P5-04,P5-07,P5-D,conditional|production,,,,,cosine (全局),unknown,152-only,C/LGB +0.000849 (B1 +0.0013/B2 +0.0004),+0.000849,-,Δ=+0.000849 → GREEN,,,scripts/p5d_prod_blend.py,docs/p5de-production-verification.md,output/p5d_prod_blend,model,validated,self_owned,R11-scfi-z,none,partial,
P5-07,canonical,RealMLP 生产 learner spot-check,realmlp-scfi-spotcheck,P5_market,2026-08-15,completed,GREEN,P5-06,P6-01,P5-E,conditional|realmlp,,,,,cosine (全局),unknown,A 臂 0.148526,C 0.152570 (Δ+0.004044); blend w=0.50 Δ+0.001369; corr 0.940,+0.004044,-,SmallMLP 代理被推翻 (过弱),SmallMLP 代理被推翻 (过弱),,scripts/p5e_prep_realmlp.py|scripts/p5e_realmlp_spotcheck.py|scripts/p5e_blend_check.py,docs/p5de-production-verification.md,output/p5e_realmlp_spotcheck,model,validated,self_owned,R11-scfi-z,none,partial,
P6-01,canonical,RealMLP-C 生产推理 + 提交候选,production-inference,P6_production,2026-08-15,completed,YELLOW,P5-07,,,production,,,,,cosine (全局),unknown,v8b (PSEUDO canon 0.142550),PSEUDO blendΔ +0.001435 (w=0.75); R61_70 +0.001369; std 比 0.9726,+0.0014,-,"未提交 (等用户拍板); 期望 LB 0.1423~0.1428 (v8b 已含 RealMLP 族, 增量压缩)","未提交 (等用户拍板); 期望 LB 0.1423~0.1428 (v8b 已含 RealMLP 族, 增量压缩)",,scripts/p6_build_test_features.py|scripts/p6_prod_realmlp.py|scripts/p6_finish_test.py|scripts/p6_prod_audit.py|scripts/p6_prod_audit2.py,docs/p6-production-inference.md,output/p6_prod/,model,validated,self_owned,R13-p6r-production,none,partial,
P6R-00,canonical,Retrieval 残差检索,retrieval-residual,P6_production,2026-08-14,completed,RED,P4-08,P6R-01,,retrieval|negative,,,,,cosine (全局),unknown,RMS frozen,"32/32 候选全正, 最大 PSEUDO Δ=+0.000588 (gate 39%)",+0.000588,-,不再做检索-残差预测路线,无候选同时满足 CI 下界>0 与 α≥0.10; 相似状态残差均值预测力弱; 负面链 #5,不再做检索-残差预测路线,scripts/p6r_00_retrieval_residual.py|scripts/p6r_00_variants.py,docs/p6r_experiment_report.md,output/p6r_00,model,negative,self_owned,R13-p6r-production,model_saturation,partial,
P6R-01,canonical,Local vs Global Ridge 终裁,local-vs-global-ridge,P6_production,2026-08-15,planned,NA,P6R-00,,,retrieval,,,,,cosine (全局),unknown,-,未跑,-,-,挂起未执行 (用户未拍板),挂起未执行 (用户未拍板),,scripts/p6r_01_local_alpha.py,docs/p6r_experiment_report.md,,model,pending,self_owned,R13-p6r-production,none,partial,
P7-01,canonical,GPT1 预注册幅度门控快速版,amplitude-gate,P7_amplitude,2026-08-15,completed,RED,P5-03,,P7-AMP,amplitude|negative,,,,,cosine (全局),unknown,arm A 0.14849,ΔD = +0.00000 (α* 全 0.0),+0.00000,-,不再做 volatility confidence calibration / Market→Confidence 假设,α 曲线单调下降; 高波动样本方向质量差 (cos 0.215→0.11); baseline 幅度分布已隐式最优,不再做 volatility confidence calibration / Market→Confidence 假设,scripts/p7amp_audit.py|scripts/p7amp_quick.py,docs/p7amp-quick-results.md,output/p7amp_*.parquet|output/p7amp_quick.json,model,negative,self_owned,R10-amplitude-gate,model_saturation,partial,
C-05,canonical,RealMLP recipe E0: 冻结 baseline (MSE训练+cosine选epoch),recipe-e0-baseline,C_clean_baseline,2026-08-15,completed,YELLOW,C-04,,,realmlp|recipe|paper,,,,,unknown,unknown,C-01 RQ 变体 PSEUDO 0.1385 (对照),"0.113261 (PSEUDO eval 33-70, best epoch 12)","plain MLP 弱于 RQ 变体 (预期, E0 为干净锚点)",N/A,plain 3x256 MLP + robust+clip + 纯 MSE 基线成立; 选 checkpoint 指标 (cosine vs MSE) 在 PSEUDO fold 无差异 (同 epoch 12),,,scripts/c05_recipe_e0.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c05_recipe_e0,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-06,canonical,RealMLP recipe E1 对照: 无 robust+clip (量化预处理组件),recipe-e1-no-clip,C_clean_baseline,2026-08-15,completed,YELLOW,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.112136 (PSEUDO eval 33-70, best ep 19)",vs C-05 -0.001125,N/A,无 robust+clip (StandardScaler) 比 C-05 差 -0.0011 → 预处理组件有真实价值 (论文 reg +9.5% 方向一致),,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/no_clip_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-07,canonical,RealMLP recipe E2: Adam beta2 0.95,recipe-e2-beta2-095,C_clean_baseline,2026-08-15,completed,YELLOW,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.114185 (PSEUDO eval 33-70, best ep 11)",vs C-05 +0.000923,N/A,"β2=0.95 小幅提升 +0.0009 (论文 +22.8% 量级未复现, 方向一致)",,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/beta2_095_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
P8-01,canonical,O→T 时序箭头诊断 (1s bin),ot-lag-arrow,P8_ot,2026-08-15,completed,RED,otlag-plan-v2,,P8-01A,ot|lag|negative,order,transaction,,诊断(无ML),cosine(全局),149952样本/71月,C_raw backward>forward,z(±1s)≈0; A_z 0/71月; placebo覆盖,unknown,N/A,O→T 跨秒响应不存在; 同期lag=0是机械重合(0.33),不再做跨表时序箭头探针 (1s bin 尺度判死),scripts/p8_01a_ot_lag.py,docs/p8-01a-otlag-results.md,output/p8_01a_ot_lag (gitignore),,model,negative,self_owned,R14-o-to-t,model_saturation,partial,
P9-01,canonical,NCL 负相关学习 (误差协方差/corr 两版),ncl-diversity,P9_quant,2026-08-15,completed,RED,gpt-review-quant-routes,,P9-NC,diversity|negative,order,transaction,,plain MLP 3x256,cosine(全局),C-05 E0 0.113261,cos 0.109~0.113,−0.0004~−0.0039 全 λ 负,unknown,N/A,"机制性证伪: err_corr≈0.99 — 残差方向无信息(P5-03 AUC 0.51 已证), diversity 无米下锅",不再做误差互补类训练 (NCL/反相关损失),scripts/p9_nc.py,docs/p9-quant-results.md,output/p9_nc (gitignore),,model,negative,self_owned,R15-p9-quant,model_saturation,partial,
P9-02,canonical,预测中性化 (nuisance 剥离),neutralization,P9_quant,2026-08-15,completed,YELLOW,gpt-review-quant-routes,,P9-NEUT,neutralization|positive,order,transaction,,后处理(无训练),cosine(全局),frozen 51-70 0.114364,frozen 0.115725 (γ=1.0),+0.001361 (frozen),unknown,N/A,"正信号: γ 单调 0→1, frozen 20月未触碰; 月度 12/20 正 (增益集中, 未达 70% gate)",不重复: 在 PSEUDO 预测上再叠加无新意的 Z 集; 需与组件/融合叠加验证,scripts/p9_neutralize.py scripts/p9_neutralize_monthly.py,docs/p9-quant-results.md,output/p9_neutralize (gitignore),,model,insufficient,self_owned,R15-p9-quant,none,partial,
P9-03,canonical,Month-Invariant V-REx (跨月方差惩罚),month-dg,P9_quant,2026-08-15,completed,RED,gpt-review-quant-routes,,P9-DG,dg|vrex|month,order,transaction,,plain MLP 3x256,cosine(全局),C-05 E0 0.113261,0.113569 (λ=3.0),+0.0003 (孤峰),unknown,N/A,"λ 全扫描 0.1-30: 仅 λ=3.0 单点 +0.0003, 两侧全负 ⇒ 噪声; V-REx 惩罚在 cosine+PSEUDO 下无可用区间",不再做 loss 方差惩罚类 (与 P4-07 漂移不可预测同向),scripts/p9_dg.py,docs/p9-quant-results.md,output/p9_dg (gitignore),,model,negative,self_owned,R15-p9-quant,nonstationarity,partial,
P10-01,canonical,RQ 全量生产提交 (152+73Z + neutralization γ=1.0),rq-prod-submit,P10_prod,2026-08-16,completed,RED,p9-scfi-rq|p9-neut,,P10-PROD-RQ,production|submit|negative,order,transaction,,RealMLP RQ 3x256,cosine(全局),PSEUDO frozen 51-70 0.143239 (arm_C 模型),"PSEUDO 0.143758 (γ=1.0, arm_C)","+0.0005 (PSEUDO, 跨模型)",0.116 (LB),PSEUDO 高分不可外推: 定标模型 arm_C(m0-32) ≠ 提交模型 0-70 全量; γ 跨模型套用无依据; LB 0.116 远低于 v8b 0.142,生产提交必须用与定标同源的模型 (同协议同 checkpoint 选择); 全量训练需留验证窗口定标 γ,scripts/p10_rq_prod_scfi.py scripts/p10_neutralize_prod.py,docs/p10-rq-prod-submission-2026-08-16.md,output/p10_rq_prod_scfi,,,model,invalid,self_owned,R11-scfi-z,protocol_invalid,partial,
C-08,canonical,RealMLP recipe E3: constant LR -> cosine decay,recipe-e3-cosine,C_clean_baseline,2026-08-16,completed,RED,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.112410 (PSEUDO eval 33-70, best ep 9)",vs C-05 -0.000851,N/A,"cosine decay (1→0) 在 30ep 短训练下为负 -0.0009: 后期 LR 过低学不动, best ep 9 早停; 论文 +13.5% 是 256ep+meta-tuned LR 的结论, 短训练协议不适用","cosine decay 在 30ep 短训练协议下后期 LR 过低, best ep 9 早停, 负增益 (论文 +13.5% 需 256ep + meta-tuned LR); 本协议不适用",,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c08_cosine_results.json,ablation,negative,self_owned,R04-realmlp-clean,model_saturation,partial,
C-09,canonical,RealMLP recipe E4: ReLU -> Parametric Mish,recipe-e4-paramish,C_clean_baseline,2026-08-16,completed,GREEN,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.122404 (PSEUDO eval 33-70, best ep 23)",vs C-05 +0.009143,N/A,"Parametric Mish 大增益 +0.0091 (论文 reg +4.8% 相对误差, 我们更强): ReLU 死区在 robust+clip 数据上代价高, 参数化激活修复它",,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c09_paramish_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-10,canonical,RealMLP recipe E5: PL 数值嵌入,recipe-e5-pl,C_clean_baseline,2026-08-16,completed,GREEN,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.125215 (PSEUDO eval 33-70, best ep 20)",vs C-05 +0.011954,N/A,"PL 数值嵌入最大增益 +0.0120 (论文最大组件 +20.6% 复现): 周期特征表达力强, 152→608 维",,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c10_pl_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-11,canonical,RealMLP recipe E6: PL -> PBLD 嵌入,recipe-e6-pbld,C_clean_baseline,2026-08-16,completed,GREEN,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.122602 (PSEUDO eval 33-70, best ep 23)",vs C-05 +0.009341,N/A,"PBLD +0.0093 略低于 PL 0.0026 (论文 PL≈PBLD 预期, 简化版参数更少)",,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c11_pbld_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-12,canonical,RealMLP recipe E7: Learnable scaling layer,recipe-e7-scaling,C_clean_baseline,2026-08-16,completed,RED,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.112446 (PSEUDO eval 33-70, best ep 9)",vs C-05 -0.000815,N/A,"Learnable scaling layer -0.0008: robust+clip 已归一化, 软特征选择无增量; lr×6 下早停 ep9","robust+clip 已归一化, 软特征选择无增量; lr×6 早停 ep9, 负增益 (论文 +1.0% 未复现)",,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c12_scaling_results.json,ablation,negative,self_owned,R04-realmlp-clean,model_saturation,partial,
C-13,canonical,RealMLP recipe E8: dropout/wd flat_cos 调度,recipe-e8-schedreg,C_clean_baseline,2026-08-16,completed,GREEN,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.119053 (PSEUDO eval 33-70, best ep 14)",vs C-05 +0.005792,N/A,dropout0.15+wd0.02 flat_cos 调度 +0.0058 (论文 constant 反而差 +3.6% 复现): 前稳后松的正则化节奏有效,,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c13_schedreg_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-14,canonical,RealMLP recipe E9: cosine -> coslog4,recipe-e9-coslog4,C_clean_baseline,2026-08-16,completed,GREEN,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.115357 (PSEUDO eval 33-70, best ep 23)",vs C-05 +0.002096,N/A,"coslog4 周期调度 +0.0021 (论文 ns +0.4%, 我们更明显): 4 周期重启跳出局部最优, best ep 23 持续学习",,,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c14_coslog4_results.json,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-15,canonical,RealMLP recipe E10: NT parametrization + 数据驱动 init,recipe-e10-ntp-init,C_clean_baseline,2026-08-16,completed,RED,C-05,,,realmlp|recipe|paper,,,,,unknown,unknown,unknown,"0.075803 (PSEUDO eval 33-70, best ep 28)",vs C-05 -0.037458,N/A,"NT 参数化+数据驱动 init 灾难 -0.0375: NTK 改变梯度尺度, 与 LR=1e-3 不匹配 (论文配 lr=0.2+256ep+coslog4); best ep 28 持续爬升, 30ep 远不够 → 组件交互案例, NT 非独立组件","NT 参数化改变梯度尺度与 LR=1e-3 不匹配 (论文配 lr=0.2+256ep+coslog4); best ep 28 持续爬升 30ep 远不够, 灾难性负增益; NT 非独立组件, 需与 LR 联合调",,scripts/c_recipe.py,research/paper-reading-2026-08/realmlp-lecture-and-migration.md,output/c_recipe/c15_ntp_init_results.json,ablation,negative,self_owned,R04-realmlp-clean,model_saturation,partial,
P9-04,canonical,P9-Lite Cancel Pressure gate probe,p9-lite-cancel,p9_lite,2026-08-20,completed,YELLOW,C-05,,P9-A-LITE,cancel|liquidity-withdrawal|order,,,,realmlp(3x256) C-05 E0,uncentered cosine (frozen 51-70),152 -> +13 side-split cancel,0.114364 (base frozen),0.118510 (feat frozen),+0.004146 frozen / +0.004378 eval,N/A,"侧拆撤单不对称(流动性撤退)真实有效: +0.0041 frozen / 20-20 聚合月正 / 13-20 月Δ正, 但 regime 集中 (hi_act +0.0103 / low_act -0.0064) → 非 clean GREEN, 进联合/校准验证; 与 Z 绿灯同源 (Z_ob_cancel_side_imb) 互为归因",,,scripts/p9_lite_train.py,docs/p9-lite-results.md,output/p9_lite/pkgA,model,validated,self_owned,R16-cancel-eventtime,redundancy,partial,
P9-05,canonical,P9-Lite Event-Time gate probe,p9-lite-eventtime,p9_lite,2026-08-20,completed,RED,C-05,,P9-B-LITE,event-time|iat|burst,,,,realmlp(3x256) C-05 E0,uncentered cosine (frozen 51-70),152 -> +18 raw iat/burst,0.114364 (base frozen),0.110477 (feat frozen),-0.003887 frozen / -0.002754 eval,N/A,"原始 iat/burst 聚合负增益; 152 基线已含事件节奏 (o_*_near_far / t_*_gap / rowcount_near_far), 未条件化原始聚合为冗余噪声变体; 事件节奏信息存在须经 Z 式 market/tx 条件化 (Z 绿灯), 原始形式无增量",compressed tabular baseline 已包含事件节奏信息; 原始聚合叠加有害,,scripts/p9_lite_train.py,docs/p9-lite-results.md,output/p9_lite/pkgB,model,negative,self_owned,R16-cancel-eventtime,model_saturation,partial,
P9-06,canonical,P9-Lite M55-lite gate probe,p9-lite-m55,p9_lite,2026-08-20,completed,YELLOW,C-05,,P9-C-LITE,dwi|entropy|depth-imbalance,,,,realmlp(3x256) C-05 E0,uncentered cosine (frozen 51-70),152 -> +10 M55-lite,0.114364 (base frozen),0.114906 (feat frozen),+0.000542 frozen / +0.000704 eval,N/A,"L1/L2 DWI + trade entropy 边缘增 +0.0005~+0.0007, 方向稳定 12/20 月Δ正, 略偏 hi_act → YELLOW 进联合实验; DWOFI 仅 L1/L2 两层可构造, 熵与 t_buy_ratio 重叠, 与 P10-FM M1 L2 档位 (+0.0008 边缘) 一致",,,scripts/p9_lite_train.py,docs/p9-lite-results.md,output/p9_lite/pkgC,model,insufficient,self_owned,R16-cancel-eventtime,redundancy,partial,
P9-07,canonical,P9-A Cancel 3-seed robustness + mask 机制验证,p9-a-h14-v1,p9_lite,2026-08-20,completed,GREEN,P9-A-LITE,C-05,P9-A-V1,cancel|liquidity-withdrawal|robustness|seed,,,,realmlp(3x256) C-05 E0,uncentered cosine (frozen 51-70),3 seed (2026/2027/2028) x base/raw/mask,0.114364 (base 2026),raw mean +0.007148,raw 3-seed +0.004146/+0.005986/+0.011313 (3/3 正),N/A,"撤单侧拆不对称稳健 GREEN 候选: 3-seed 均值 frozen +0.0071 (3/3 正); 单 seed 2026 的 low_act 拖累 (-0.0064) 是 seed 噪声 (2027/28 low_act +0.0105/+0.0073), 双 regime 均值皆正; mask(低撤单置0) 三 seed 均劣于 raw → 机制猜想证伪, hard-mask 路径不重复; 与 Z 同源 (Z_ob_cancel_side_imb) 互为归因, 是 Z 绿灯候选主成分","hard-mask 低撤单样本不能修复 regime 集中 (真信号低活动也有, 清空=丢信号)",,scripts/p9_lite_train.py,docs/p9-lite-results.md,"output/p9_lite/pkgA/{feat_s*,feat_*_mask}",model,validated,self_owned,R16-cancel-eventtime,redundancy,partial,
P9-08,canonical,三方对比: cancel x Z (替代/叠加裁决),p9-a-v2-3way,p9_lite,2026-08-20,completed,RED,P9-A-V1,,P9-A-V2,cancel|Z|attribution|ensemble,,,,realmlp(3x256) C-05 E0,uncentered cosine (frozen 51-70),seed 2026 x base/cancel/Z/cancel+Z,0.114364 (base frozen),Z 0.123030 (+0.008666),cancel +0.004146; Z +0.008666; cancel+Z +0.007852 (J−Z −0.0008),N/A,"撤单族归因闭合: cancel ⊂ Z — 替代否决 (A 只有 Z 一半强), 叠加否决 (J−Z −0.0008, 月度Δ正 10/20); Z 含 market/tx 条件化的 Z_ob_cancel_side_imb, 撤单族是 Z 绿灯的驱动成分但 Z 表达更好; 结论「直接用 A」不成立, 撤单族不做独立生产特征, 生产资产仍 152+73Z; A 的价值 = 归因证据 + Z 可解释成分",raw 撤单侧拆叠加到 152+Z 无增量 (信息已被 Z 覆盖),,scripts/p9_lite_joint_build.py,docs/p9-lite-results.md,"output/p9_lite/{pkgJ,pkgA/feat_z,pkgA/feat_j}",model,negative,self_owned,R16-cancel-eventtime,redundancy,partial,
P6-02,canonical,Z 线生产协议重跑 (今日验证数字),p6-r-20260821,P6_production,2026-08-21,completed,YELLOW,P6-01,,P6-R|P6-R20260821,production,,,,realmlp(3x256) C-05 E0,MSE,PSEUDO (inner 0-20/tune 21-32/refit 0-32/eval 33-70) + frozen 51-70,0.142550 (canonical PSEUDO),RealMLP-C 0.139248; blendΔ +0.001460 (w=0.70 tuned 21-32),+0.001460,"55656536 (submitted, 等出分)","重跑 Z 线生产协议: RealMLP-C 152+73Z 同源校准 + test 门禁全部复现 (standalone 0.139248/canon 0.142550/std ratio 0.9726 与 8/15 逐位一致, 确定性); blendΔ 今日 +0.001460 略高于 8/15 +0.001435; 三窗口 w 敏感性峰值 51-60 w=0.55 / 61-70 w=0.65 / PSEUDO w=0.55 → 生产 blend w=0.55; test 侧 corr(RealMLP-C,v8b)=0.9280 结构一致",,,scripts/p6_prod_realmlp.py|scripts/p6_final_w055.py|scripts/p6_w_sensitivity.py,docs/p6-production-inference.md,"output/p6_prod/{rerun_20260821.log,|submission_candidate_p6_w055.csv,|blend_candidates.npz}",protocol,validated,self_owned,R13-p6r-production,none,partial,
P11-01,canonical,Behavior Existence Gate (行为隐状态存在性),blsm-g0,P9_blsm,2026-08-21,completed,GREEN,,,BLSM|BLSM-G0,behavior|latent|absorption|resiliency,,,,"N/A (无训练, 纯统计诊断)",N/A,PCA/GMM 诊断 + R2/AUC/IC 检验,N/A,行为特征 8PC 累计解释 0.60; 4 代理(order_count/txn_count/vol)解释 PC R2≈0 (−0.0006~−0.0009),行为 latent 独立于 activity/volatility/month (month AUC≈0.5); PC4 rankIC −0.0036 (p<5e-5),-,"BLSM 行为状态结构存在 (EXIST): 27 特征 PCA↘8 维; 关键证据=现有活动度/波动/计数代理几乎无法解释行为 latent (R2≈0), 不被月主导; 仅 PC4 与 target 显著相关 (IC −0.0036, 量级弱)。行为状态存在但不强 → 进 G1 (incremental gate) 回答是否有基线之上增量","B1/B2 (aggressiveness/persistence) 与 P9-B RED 重叠, 原始统计不重跑 (红线)",原始 iat/burst 事件时距不重跑,scripts/blsm_g0_build.py|scripts/blsm_g0_diag.py,docs/blsm-g0-report.md,processed/blsm_g0_train.parquet,diagnostic,descriptive,self_owned,R18-blsm,redundancy,partial,
P8-02,canonical,GAP-N1/N3/N5 时序缺口补证,otlag-gap-followup,P8_ot,2026-08-21,completed,RED,P8-01,,,,,,,,unknown,unknown,unknown,N/A,N/A,N/A,N1/N3/N5 均未形成可迁移时序 alpha,跨月时序关系不足且不可复现,不重复扫描已否定的 O→T gap 变体,N/A,RESULTS.md#P8,output/p8_gap_*,model,negative,self_owned,R14-o-to-t,nonstationarity,verified,git:3d2e139|docs:p8-ot-gap-report.md
P10-02,canonical,SCFI plain realization,scfi-plain-realization,P10_feature_mining,2026-08-21,completed,GREEN,P5-04,P10-03,,,,,,,unknown,unknown,unknown,0.143,+0.0075,N/A,SCFI plain realization 提供条件增量,,,N/A,docs/p5b-scfi-report.md#plain,output/p10_scfi_plain,model,validated,self_owned,R11-scfi-z,none,verified,git:38dab2c|docs:p5b-scfi-report.md
P10-03,canonical,SCFI RQ realization,scfi-rq-realization,P10_feature_mining,2026-08-21,completed,GREEN,P10-02,P10-04,,,,,,,unknown,unknown,unknown,0.1438,+0.0040,N/A,RQ 条件表示在本地验证有增量,生产定标协议未闭合，不能直接外推,不得把 arm_C 定标套用 full-history 生产模型,N/A,RESULTS.md#P10,output/p10_scfi_rq,model,validated,self_owned,R11-scfi-z,none,verified,git:eb33215|docs:p10-scfi-rq-report.md
